! English, Pīnyīn, 汉语
# Pronouns
I, me | wǒ | 我
interesting | yǒu yìsi | 有意思
satisfied | mǎnyì | 满意
blind | máng | 盲
wet | shī | 湿
dry | gān | 干
near, close by | jìn | 近
far | yuǎn | 远
left | zuǒ | 左
right | yòu | 右
# Adverbs
very | hěn | 很
extremely | fēicháng | 非常
# Verbs
be | shì | 是
be sure | quèdìng | 确定
buy | mǎi | 买
close | guān | 关
die | sǐ | 死
do, make | zuò | 做
drink | hē | 喝
eat | chī | 吃
enter, come in | jìn | 进
feel, sense, think | juéde | 觉得
fly | fēi | 飞
give change | zhǎo | 找
go | qù | 去
have, exist | yǒu | 有
help | bāng | 帮
hit | dǎ | 打
hold | wò | 握
kill | shā | 杀
know | zhīdào | 知道
laugh | xiào | 笑
lie, lie down | tǎng | 躺
like | xǐhuān | 喜欢
listen | tīng | 听
live | zhù | 住
live, life | huó | 活
look for | zhǎo | 找
not have, did not | méi, méiyǒu | 没, 没有
open | kāi | 开
pay | fù | 付
play (general) | wánr | 玩儿
play, kick | tī | 踢
pluck | tán, dàn | 弹
pull | lā | 拉
push | tuī | 推
put | fàng | 放
read, look at | kàn | 看
read | dú | 读
return | huí | 回
say, talk, speak | shuō | 说
see, meet | jiàn | 见
sell | mài | 卖
send | fā | 发
sing | chàng | 唱
sit | zuò | 坐
sleep | shuìjiào | 睡觉
smell | wén | 闻
stand | zhàn | 站
study | xué | 学
swim | yóuyǒng | 游泳
take, seize | ná | 拿
take a picture | pàizhào | 拍照
throw | rēng | 扔
turn | zhuǎn | 转
work | gōngzuò | 工作
wait | děng | 等
walk, leave | zǒu | 走
want | yào | 要
wash | xǐ | 洗
welcome, greet | huānyíng | 欢迎
write | xiě | 写
need, need to | xūyào | 需要
have to | děi | 得
must | bìxū | 必需
# Nouns
breakfast | zǎofàn | 早饭
lunch | wǔfàn | 午饭
dinner | wǎnfàn | 晚饭
baby | bǎobae | 宝宝
blood | xuè | 血
body, health | shēntǐ | 身体
book | shū | 书
child, kid | háizi | 孩子
clothes | yīfu | 衣服
computer | diànnǎo | 电脑
computer science | jìsuànjīkēxué | 计算机科学
door, gate | mén | 门
electricity | diàn | 电
grass | cǎo | 草
guitar | jítā | 吉他
hand | shǒu | 手
horse | mǎ | 马
lake | hú | 湖
medicine, drug | yào | 药
mobile phone | shǒujī | 手机
mountain | shān | 山
mouth | kǒu | 口
number | hào | 号
floor, ground | dì | 地
flower | huā | 花
pen, pencil | bǐ | 笔
photo | zhàopiàn | 照片
rain | yǔ | 雨
river | hé | 河
room | fángjiān | 房间
salt | yán | 盐
skin | pí | 皮
sea | hǎi | 海
sun | rì | 日
tea leaves | cháyè | 茶叶
telephone | diànhuà | 电话
telephone number | hàomǎ | 号码
# Anatomy
hair | tóufa | 头发
head | tóu | 头
ear | ěrduo | 耳朵
eye | yǎnjing | 眼睛
nose | bí | 鼻
mouth | zuǐ | 嘴
tooth | yáchǐ | 牙齿
tongue | shé, shétou | 舌, 舌头
finger | zhǐ | 指
fingernail | zhǐjia | 指甲
foot | jiǎo | 脚
leg | tuǐ | 腿
knee | xīgài | 膝盖
hand | shǒu | 手
belly | dùzi | 肚子
neck | bózi | 脖子
back | bèi | 背
breast | xiōng | 胸
# Food and drink
dog | gǒu | 狗
egg | dàn | 蛋
bitter | kǔ | 苦
fish | yú | 鱼
fruit | guǒ | 果
meat | ròu | 肉
pepper | jiāo | 椒
soup | tāng | 汤
sour | suān | 酸
spicy, hot | là | 辣
sweet | tián | 甜
salty | xián | 咸
water | shuǐ | 水
order | diǎn | 点
pay for the food | mǎi dān | 买单
oil | yóu | 油
chicken, hen, cock | jī | 鸡
egg (general) | dàn | 蛋
liquor | jiǔ | 酒
cup | bēi | 杯
bowl | wǎn | 碗
# Transport
vehicle | chē | 车
bicycle | zìxíngchē | 自行车
auto, car, bus | qìchē | 汽车
taxi | chūzūchē | 出租车
# Common phrases
hello | nǐ hǎo | 你好
goodbye | zàijiàn | 再见
how are you? | nǐ hǎo ma? | 你好吗？
what about you? | nǐ ne? | 你呢？
sorry | duìbùqǐ | 对不起
it's all right | méiguānxi | 没关系
thank you | xièxie | 谢谢
you are welcome | búkèqi | 不客气
happy weekend | zhōumò kuàile | 周末快乐
you too | nǐyěshì | 你也是
see you later | huíjiàn | 回见
don't, do not | bùyào, bié | 不要, 别
how much does it cost? | duōshǎo qián? | 多少钱？
what time is it? | jǐ diǎn le? | 几点了
what does it mean? | shénme yìsi? | 什么意思
I do not understand | wǒ bù dǒng | 我不懂
I did not understand | wǒ méi tīngdǒng | 我没听懂
please say it again | qǐng zài shuō yī biàn | 请再说一遍
you didn't give me the change | méi zhǎo qián | 没找钱
do not matter, never to mind | méi shénme | 没什么
